county,fips,pollutant,val
Arkansas,5001,"1,1,2-TRICHLOROETHANE",0.0
Arkansas,5001,"1,3-BUTADIENE",0.000102091747219
Arkansas,5001,"1,3-DICHLOROPROPENE",0.0
Arkansas,5001,"1,4-DICHLOROBENZENE",0.0
Arkansas,5001,"1,4-DIOXANE",0.0
Arkansas,5001,"2,4,6-TRICHLOROPHENOL",0.0
Arkansas,5001,"2,4-DINITROTOLUENE",0.0
Arkansas,5001,"2,4-TOLUENE DIISOCYANATE",0.0
Arkansas,5001,2-NITROPROPANE,0.0
Arkansas,5001,ACETALDEHYDE,0.000160741889692
Arkansas,5001,ACETAMIDE,0.0
Arkansas,5001,ACRYLONITRILE,0.0
Arkansas,5001,ALLYL CHLORIDE,0.0
Arkansas,5001,ANILINE,0.0
Arkansas,5001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Arkansas,5001,BENZENE,0.0006711860339580001
Arkansas,5001,BENZYL CHLORIDE,0.0
Arkansas,5001,BERYLLIUM COMPOUNDS,0.0
Arkansas,5001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Arkansas,5001,BROMOFORM,0.0
Arkansas,5001,CADMIUM COMPOUNDS,0.0
Arkansas,5001,CARBON TETRACHLORIDE,0.0
Arkansas,5001,CHLOROPRENE,0.0
Arkansas,5001,CHROMIUM VI (HEXAVALENT),0.0
Arkansas,5001,EPICHLOROHYDRIN,0.0
Arkansas,5001,ETHYLBENZENE,2.3723258838e-05
Arkansas,5001,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Arkansas,5001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Arkansas,5001,ETHYLENE OXIDE,0.0
Arkansas,5001,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Arkansas,5001,FORMALDEHYDE,0.0020605275668800003
Arkansas,5001,HEXACHLOROBENZENE,0.0
Arkansas,5001,HEXACHLOROBUTADIENE,0.0
Arkansas,5001,METHYL TERT-BUTYL ETHER,0.0
Arkansas,5001,METHYLENE CHLORIDE,0.0
Arkansas,5001,NAPHTHALENE,0.000970904252518
Arkansas,5001,NICKEL COMPOUNDS,0.0
Arkansas,5001,NITROBENZENE,0.0
Arkansas,5001,O-TOLUIDINE,0.0
Arkansas,5001,PAHPOM,3.9829826505e-05
Arkansas,5001,PENTACHLOROPHENOL,0.0
Arkansas,5001,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Arkansas,5001,PROPYLENE OXIDE,0.0
Arkansas,5001,TETRACHLOROETHYLENE,0.0
Arkansas,5001,TRICHLOROETHYLENE,0.0
Arkansas,5001,VINYL CHLORIDE,0.0
Ashley,5003,"1,1,2-TRICHLOROETHANE",0.0
Ashley,5003,"1,3-BUTADIENE",0.0
Ashley,5003,"1,3-DICHLOROPROPENE",0.0
Ashley,5003,"1,4-DICHLOROBENZENE",0.0
Ashley,5003,"1,4-DIOXANE",0.0
Ashley,5003,"2,4,6-TRICHLOROPHENOL",0.0
