county,fips,pollutant,val,population
Appling,13001,"1,1,2-TRICHLOROETHANE",0.0,18236
Appling,13001,"1,3-BUTADIENE",0.000691079917994,18236
Appling,13001,"1,4-DICHLOROBENZENE",0.0,18236
Appling,13001,"1,4-DIOXANE",0.0,18236
Appling,13001,"2,4,6-TRICHLOROPHENOL",0.0,18236
Appling,13001,"2,4-DINITROTOLUENE",0.0,18236
Appling,13001,"2,4-TOLUENE DIISOCYANATE",0.0,18236
Appling,13001,2-NITROPROPANE,0.0,18236
Appling,13001,ACETALDEHYDE,0.0006457490847309999,18236
Appling,13001,ACETAMIDE,0.0,18236
Appling,13001,ACRYLONITRILE,0.0,18236
Appling,13001,ALLYL CHLORIDE,0.0,18236
Appling,13001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0,18236
Appling,13001,BENZENE,0.0026801713303239998,18236
Appling,13001,BENZYL CHLORIDE,0.0,18236
Appling,13001,BERYLLIUM COMPOUNDS,0.0,18236
Appling,13001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0,18236
Appling,13001,CADMIUM COMPOUNDS,0.0,18236
Appling,13001,CARBON TETRACHLORIDE,0.0,18236
Appling,13001,CHLOROPRENE,0.0,18236
Appling,13001,CHROMIUM VI (HEXAVALENT),0.0,18236
Appling,13001,EPICHLOROHYDRIN,0.0,18236
Appling,13001,ETHYLBENZENE,9.6833223641e-05,18236
Appling,13001,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0,18236
Appling,13001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0,18236
Appling,13001,ETHYLENE OXIDE,0.0,18236
Appling,13001,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0,18236
Appling,13001,FORMALDEHYDE,0.0074909328931490006,18236
Appling,13001,HEXACHLOROBENZENE,0.0,18236
Appling,13001,HEXACHLOROBUTADIENE,0.0,18236
Appling,13001,METHYL TERT-BUTYL ETHER,0.0,18236
Appling,13001,METHYLENE CHLORIDE,0.0,18236
Appling,13001,NAPHTHALENE,0.004370716862898,18236
Appling,13001,NICKEL COMPOUNDS,0.0,18236
Appling,13001,NITROBENZENE,0.0,18236
Appling,13001,O-TOLUIDINE,0.0,18236
Appling,13001,PAHPOM,0.000285823222495,18236
Appling,13001,PENTACHLOROPHENOL,0.0,18236
Appling,13001,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0,18236
Appling,13001,PROPYLENE OXIDE,0.0,18236
Appling,13001,TETRACHLOROETHYLENE,0.0,18236
Appling,13001,TRICHLOROETHYLENE,0.0,18236
Appling,13001,VINYL CHLORIDE,0.0,18236
Atkinson,13003,"1,1,2-TRICHLOROETHANE",0.0,8375
Atkinson,13003,"1,3-BUTADIENE",0.0005642168169119999,8375
Atkinson,13003,"1,3-DICHLOROPROPENE",0.0,8375
Atkinson,13003,"1,4-DICHLOROBENZENE",0.0,8375
Atkinson,13003,"1,4-DIOXANE",0.0,8375
Atkinson,13003,"2,4,6-TRICHLOROPHENOL",0.0,8375
Atkinson,13003,"2,4-DINITROTOLUENE",0.0,8375
Atkinson,13003,"2,4-TOLUENE DIISOCYANATE",0.0,8375
Atkinson,13003,2-NITROPROPANE,0.0,8375
Atkinson,13003,ACETALDEHYDE,0.000549524425315,8375
Atkinson,13003,ACETAMIDE,0.0,8375
Atkinson,13003,ACRYLONITRILE,0.0,8375
Atkinson,13003,ALLYL CHLORIDE,0.0,8375
Atkinson,13003,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0,8375
Atkinson,13003,BENZENE,0.002322919162803,8375
Atkinson,13003,BENZYL CHLORIDE,0.0,8375
Atkinson,13003,BERYLLIUM COMPOUNDS,0.0,8375
Atkinson,13003,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0,8375
Atkinson,13003,CADMIUM COMPOUNDS,0.0,8375
Atkinson,13003,CARBON TETRACHLORIDE,0.0,8375
Atkinson,13003,CHLOROPRENE,0.0,8375
Atkinson,13003,CHROMIUM VI (HEXAVALENT),0.0,8375
Atkinson,13003,EPICHLOROHYDRIN,0.0,8375
