county,fips,pollutant,val
Androscoggin,23001,"1,1,2-TRICHLOROETHANE",0.0
Androscoggin,23001,"1,3-BUTADIENE",0.000532574056426
Androscoggin,23001,"1,4-DICHLOROBENZENE",0.0
Androscoggin,23001,"1,4-DIOXANE",0.0
Androscoggin,23001,"2,4,6-TRICHLOROPHENOL",0.0
Androscoggin,23001,"2,4-DINITROTOLUENE",0.0
Androscoggin,23001,"2,4-TOLUENE DIAMINE",0.0
Androscoggin,23001,"2,4-TOLUENE DIISOCYANATE",0.0
Androscoggin,23001,2-NITROPROPANE,0.0
Androscoggin,23001,ACETALDEHYDE,0.000713723761416
Androscoggin,23001,ACETAMIDE,0.0
Androscoggin,23001,ACRYLONITRILE,0.0
Androscoggin,23001,ALLYL CHLORIDE,0.0
Androscoggin,23001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Androscoggin,23001,BENZENE,0.00129686410783
Androscoggin,23001,BENZYL CHLORIDE,0.0
Androscoggin,23001,BERYLLIUM COMPOUNDS,0.0
Androscoggin,23001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Androscoggin,23001,CADMIUM COMPOUNDS,0.0
Androscoggin,23001,CARBON TETRACHLORIDE,0.0
Androscoggin,23001,CHLOROPRENE,0.0
Androscoggin,23001,CHROMIUM VI (HEXAVALENT),0.0
Androscoggin,23001,EPICHLOROHYDRIN,0.0
Androscoggin,23001,ETHYLBENZENE,7.3592423268e-05
Androscoggin,23001,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Androscoggin,23001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Androscoggin,23001,ETHYLENE OXIDE,0.0
Androscoggin,23001,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Androscoggin,23001,FORMALDEHYDE,0.007935522594254
Androscoggin,23001,HEXACHLOROBENZENE,0.0
Androscoggin,23001,HEXACHLOROBUTADIENE,0.0
Androscoggin,23001,METHYL TERT-BUTYL ETHER,0.0
Androscoggin,23001,METHYLENE CHLORIDE,0.0
Androscoggin,23001,NAPHTHALENE,0.003635829138935
Androscoggin,23001,NICKEL COMPOUNDS,0.0
Androscoggin,23001,NITROBENZENE,0.0
Androscoggin,23001,O-TOLUIDINE,0.0
Androscoggin,23001,PAHPOM,7.5841059944e-05
Androscoggin,23001,PENTACHLOROPHENOL,0.0
Androscoggin,23001,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Androscoggin,23001,PROPYLENE OXIDE,0.0
Androscoggin,23001,TETRACHLOROETHYLENE,0.0
Androscoggin,23001,TRICHLOROETHYLENE,0.0
Androscoggin,23001,VINYL CHLORIDE,0.0
Aroostook,23003,"1,1,2-TRICHLOROETHANE",0.0
Aroostook,23003,"1,3-BUTADIENE",0.000198543137086
Aroostook,23003,"1,4-DICHLOROBENZENE",0.0
Aroostook,23003,"1,4-DIOXANE",0.0
Aroostook,23003,"2,4,6-TRICHLOROPHENOL",0.0
Aroostook,23003,"2,4-DINITROTOLUENE",0.0
Aroostook,23003,"2,4-TOLUENE DIISOCYANATE",0.0
Aroostook,23003,2-NITROPROPANE,0.0
Aroostook,23003,ACETALDEHYDE,0.0007308026244289998
Aroostook,23003,ACETAMIDE,0.0
Aroostook,23003,ACRYLONITRILE,0.0
Aroostook,23003,ALLYL CHLORIDE,0.0
Aroostook,23003,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Aroostook,23003,BENZENE,0.0014275474608339998
Aroostook,23003,BENZYL CHLORIDE,0.0
Aroostook,23003,BERYLLIUM COMPOUNDS,0.0
Aroostook,23003,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Aroostook,23003,CADMIUM COMPOUNDS,0.0
Aroostook,23003,CARBON TETRACHLORIDE,0.0
Aroostook,23003,CHLOROPRENE,0.0
Aroostook,23003,CHROMIUM VI (HEXAVALENT),0.0
Aroostook,23003,EPICHLOROHYDRIN,0.0
Aroostook,23003,ETHYLBENZENE,3.2501378818000005e-05
Aroostook,23003,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Aroostook,23003,ETHYLENE OXIDE,0.0
Aroostook,23003,FORMALDEHYDE,0.0045079496001470005
Aroostook,23003,HEXACHLOROBENZENE,0.0
Aroostook,23003,HEXACHLOROBUTADIENE,0.0
Aroostook,23003,METHYL TERT-BUTYL ETHER,0.0
Aroostook,23003,METHYLENE CHLORIDE,0.0
Aroostook,23003,NAPHTHALENE,0.0028997224182840007
Aroostook,23003,NICKEL COMPOUNDS,0.0
Aroostook,23003,NITROBENZENE,0.0
Aroostook,23003,O-TOLUIDINE,0.0
Aroostook,23003,PAHPOM,3.7268460361999996e-05
Aroostook,23003,PENTACHLOROPHENOL,0.0
Aroostook,23003,PROPYLENE OXIDE,0.0
Aroostook,23003,TETRACHLOROETHYLENE,0.0
Aroostook,23003,TRICHLOROETHYLENE,0.0
Aroostook,23003,VINYL CHLORIDE,0.0
Cumberland,23005,"1,1,2-TRICHLOROETHANE",0.0
Cumberland,23005,"1,3-BUTADIENE",0.000518890999974
Cumberland,23005,"1,4-DICHLOROBENZENE",0.0
Cumberland,23005,"1,4-DIOXANE",0.0
Cumberland,23005,"2,4,6-TRICHLOROPHENOL",0.0
Cumberland,23005,"2,4-DINITROTOLUENE",0.0
