county,fips,pollutant,val,population
Adjuntas,72001,"1,3-BUTADIENE",0.0,19483
Adjuntas,72001,"1,4-DICHLOROBENZENE",0.0,19483
Adjuntas,72001,"2,4,6-TRICHLOROPHENOL",0.0,19483
Adjuntas,72001,ACETALDEHYDE,0.0,19483
Adjuntas,72001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),3.9871106098000006e-05,19483
Adjuntas,72001,BENZENE,0.0,19483
Adjuntas,72001,BERYLLIUM COMPOUNDS,1.017375456e-06,19483
Adjuntas,72001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0,19483
Adjuntas,72001,CADMIUM COMPOUNDS,0.00013746168519299999,19483
Adjuntas,72001,CARBON TETRACHLORIDE,0.0,19483
Adjuntas,72001,CHROMIUM VI (HEXAVALENT),2.1081403405e-05,19483
Adjuntas,72001,ETHYLBENZENE,0.0,19483
Adjuntas,72001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0,19483
Adjuntas,72001,ETHYLENE OXIDE,0.0,19483
Adjuntas,72001,FORMALDEHYDE,0.0,19483
Adjuntas,72001,HEXACHLOROBENZENE,0.0,19483
Adjuntas,72001,METHYLENE CHLORIDE,0.0,19483
Adjuntas,72001,NAPHTHALENE,0.0,19483
Adjuntas,72001,NICKEL COMPOUNDS,5.666542021000001e-06,19483
Adjuntas,72001,PAHPOM,0.0,19483
Adjuntas,72001,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0,19483
Adjuntas,72001,TETRACHLOROETHYLENE,0.0,19483
Adjuntas,72001,TRICHLOROETHYLENE,0.0,19483
Aguada,72003,"1,3-BUTADIENE",0.0,41959
Aguada,72003,"1,4-DICHLOROBENZENE",0.0,41959
Aguada,72003,"2,4,6-TRICHLOROPHENOL",0.0,41959
Aguada,72003,ACETALDEHYDE,0.0,41959
Aguada,72003,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.00015641832170299998,41959
Aguada,72003,BENZENE,0.0,41959
Aguada,72003,BERYLLIUM COMPOUNDS,3.9882765110000004e-06,41959
Aguada,72003,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0,41959
Aguada,72003,CADMIUM COMPOUNDS,0.0005390879437509999,41959
Aguada,72003,CARBON TETRACHLORIDE,0.0,41959
Aguada,72003,CHROMIUM VI (HEXAVALENT),8.265203757499999e-05,41959
Aguada,72003,ETHYLBENZENE,0.0,41959
Aguada,72003,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0,41959
Aguada,72003,ETHYLENE OXIDE,0.0,41959
Aguada,72003,FORMALDEHYDE,0.0,41959
Aguada,72003,HEXACHLOROBENZENE,0.0,41959
Aguada,72003,METHYLENE CHLORIDE,0.0,41959
Aguada,72003,NAPHTHALENE,0.0,41959
Aguada,72003,NICKEL COMPOUNDS,2.224325295e-05,41959
Aguada,72003,PAHPOM,0.0,41959
Aguada,72003,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0,41959
Aguada,72003,TETRACHLOROETHYLENE,0.0,41959
Aguada,72003,TRICHLOROETHYLENE,0.0,41959
Aguadilla,72005,"1,3-BUTADIENE",0.0,60949
Aguadilla,72005,"1,4-DICHLOROBENZENE",0.0,60949
Aguadilla,72005,"2,4,6-TRICHLOROPHENOL",0.0,60949
Aguadilla,72005,ACETALDEHYDE,0.0,60949
Aguadilla,72005,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.00015787280341999997,60949
Aguadilla,72005,BENZENE,0.0,60949
Aguadilla,72005,BERYLLIUM COMPOUNDS,4.0162740000000005e-06,60949
Aguadilla,72005,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0,60949
Aguadilla,72005,CADMIUM COMPOUNDS,0.00054386625024,60949
Aguadilla,72005,CARBON TETRACHLORIDE,0.0,60949
Aguadilla,72005,CHROMIUM VI (HEXAVALENT),8.354094125600001e-05,60949
Aguadilla,72005,ETHYLBENZENE,0.0,60949
Aguadilla,72005,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0,60949
Aguadilla,72005,ETHYLENE OXIDE,0.0,60949
Aguadilla,72005,FORMALDEHYDE,0.0,60949
Aguadilla,72005,HEXACHLOROBENZENE,0.0,60949
Aguadilla,72005,METHYLENE CHLORIDE,0.0,60949
Aguadilla,72005,NAPHTHALENE,0.0,60949
Aguadilla,72005,NICKEL COMPOUNDS,2.2404696268000003e-05,60949
Aguadilla,72005,PAHPOM,0.0,60949
Aguadilla,72005,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0,60949
Aguadilla,72005,TETRACHLOROETHYLENE,0.0,60949
Aguadilla,72005,TRICHLOROETHYLENE,0.0,60949
Aguas Buenas,72007,"1,3-BUTADIENE",0.0,28659
Aguas Buenas,72007,"1,4-DICHLOROBENZENE",0.0,28659
Aguas Buenas,72007,"2,4,6-TRICHLOROPHENOL",0.0,28659
Aguas Buenas,72007,ACETALDEHYDE,0.0,28659
Aguas Buenas,72007,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.00010055993794,28659
Aguas Buenas,72007,BENZENE,0.0,28659
Aguas Buenas,72007,BERYLLIUM COMPOUNDS,2.563513203e-06,28659
Aguas Buenas,72007,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0,28659
Aguas Buenas,72007,CADMIUM COMPOUNDS,0.00034648301274199997,28659
Aguas Buenas,72007,CARBON TETRACHLORIDE,0.0,28659
Aguas Buenas,72007,CHROMIUM VI (HEXAVALENT),5.3209521651e-05,28659
Aguas Buenas,72007,ETHYLBENZENE,0.0,28659
