county,fips,pollutant,val
Belknap,33001,"1,1,2-TRICHLOROETHANE",0.0
Belknap,33001,"1,3-BUTADIENE",0.0
Belknap,33001,"1,3-DICHLOROPROPENE",5.937587879999999e-07
Belknap,33001,"1,4-DICHLOROBENZENE",0.0
Belknap,33001,"1,4-DIOXANE",1.0996025599999999e-07
Belknap,33001,"2,4,6-TRICHLOROPHENOL",0.0
Belknap,33001,"2,4-DINITROTOLUENE",0.0
Belknap,33001,"2,4-TOLUENE DIISOCYANATE",5.647611443e-05
Belknap,33001,2-NITROPROPANE,0.0
Belknap,33001,ACETALDEHYDE,0.09017570015786099
Belknap,33001,ACETAMIDE,0.0
Belknap,33001,ACRYLONITRILE,2.4468993139000004e-05
Belknap,33001,ALLYL CHLORIDE,0.0
Belknap,33001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Belknap,33001,BENZENE,0.0
Belknap,33001,BENZYL CHLORIDE,0.0
Belknap,33001,BERYLLIUM COMPOUNDS,0.0016059193657819999
Belknap,33001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),1.3615253852e-05
Belknap,33001,BROMOFORM,0.0
Belknap,33001,CADMIUM COMPOUNDS,0.0
Belknap,33001,CARBON TETRACHLORIDE,0.0
Belknap,33001,CHLOROPRENE,1.4541319999999998e-09
Belknap,33001,CHROMIUM VI (HEXAVALENT),4.4969436523e-05
Belknap,33001,EPICHLOROHYDRIN,1.1921133999999998e-08
Belknap,33001,ETHYLBENZENE,0.0
Belknap,33001,ETHYLENE DIBROMIDE (DIBROMOETHANE),3.23169596e-07
Belknap,33001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Belknap,33001,ETHYLENE OXIDE,0.0
Belknap,33001,ETHYLENE THIOUREA,0.0
Belknap,33001,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Belknap,33001,FORMALDEHYDE,0.089707543475485
Belknap,33001,HEXACHLOROBENZENE,0.0
Belknap,33001,HEXACHLOROBUTADIENE,0.0
Belknap,33001,METHYL TERT-BUTYL ETHER,0.0
Belknap,33001,METHYLENE CHLORIDE,0.000309733448395
Belknap,33001,NAPHTHALENE,0.005431686764246
Belknap,33001,NICKEL COMPOUNDS,0.0009305660244419999
Belknap,33001,NITROBENZENE,1.923902e-09
Belknap,33001,O-TOLUIDINE,0.0
Belknap,33001,PAHPOM,0.0
Belknap,33001,PENTACHLOROPHENOL,0.0
Belknap,33001,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Belknap,33001,PROPYLENE OXIDE,7.5719073e-08
Belknap,33001,TETRACHLOROETHYLENE,0.0
Belknap,33001,TRICHLOROETHYLENE,0.0
Belknap,33001,VINYL CHLORIDE,0.0
Carroll,33003,"1,1,2-TRICHLOROETHANE",0.0
Carroll,33003,"1,3-BUTADIENE",0.0
Carroll,33003,"1,3-DICHLOROPROPENE",2.6886729600000004e-07
Carroll,33003,"1,4-DICHLOROBENZENE",0.0
Carroll,33003,"1,4-DIOXANE",5.4165611e-08
Carroll,33003,"2,4,6-TRICHLOROPHENOL",0.0
Carroll,33003,"2,4-DINITROTOLUENE",0.0
Carroll,33003,"2,4-TOLUENE DIISOCYANATE",3.7368137439e-05
Carroll,33003,2-NITROPROPANE,0.0
Carroll,33003,ACETALDEHYDE,0.08546357229056599
Carroll,33003,ACETAMIDE,0.0
Carroll,33003,ACRYLAMIDE,0.0
Carroll,33003,ACRYLONITRILE,1.9366922149999997e-05
Carroll,33003,ALLYL CHLORIDE,0.0
Carroll,33003,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Carroll,33003,BENZENE,0.0
Carroll,33003,BENZYL CHLORIDE,0.0
Carroll,33003,BERYLLIUM COMPOUNDS,0.0007284877126489999
Carroll,33003,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),9.167114748999999e-06
Carroll,33003,BROMOFORM,0.0
Carroll,33003,CADMIUM COMPOUNDS,0.0
Carroll,33003,CARBON TETRACHLORIDE,0.0
Carroll,33003,CHLOROPRENE,9.453889999999999e-10
Carroll,33003,CHROMIUM VI (HEXAVALENT),4.1287023517e-05
Carroll,33003,EPICHLOROHYDRIN,9.813139000000001e-09
Carroll,33003,ETHYLBENZENE,0.0
Carroll,33003,ETHYLENE DIBROMIDE (DIBROMOETHANE),9.480045599999999e-08
Carroll,33003,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Carroll,33003,ETHYLENE OXIDE,0.0
