county,fips,pollutant,val
Albany,56001,"1,1,2-TRICHLOROETHANE",0.0
Albany,56001,"1,3-BUTADIENE",0.0
Albany,56001,"1,3-DICHLOROPROPENE",0.0
Albany,56001,"1,4-DICHLOROBENZENE",0.0
Albany,56001,"1,4-DIOXANE",0.0
Albany,56001,"2,4,6-TRICHLOROPHENOL",0.0
Albany,56001,"2,4-DINITROTOLUENE",0.0
Albany,56001,"2,4-TOLUENE DIISOCYANATE",0.0
Albany,56001,2-NITROPROPANE,0.0
Albany,56001,ACETALDEHYDE,0.0008914324097929999
Albany,56001,ACETAMIDE,0.0
Albany,56001,ACRYLONITRILE,0.0
Albany,56001,ALLYL CHLORIDE,0.0
Albany,56001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Albany,56001,BENZENE,0.012214166448741001
Albany,56001,BENZYL CHLORIDE,0.0
Albany,56001,BERYLLIUM COMPOUNDS,0.0
Albany,56001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Albany,56001,BROMOFORM,0.0
Albany,56001,CADMIUM COMPOUNDS,0.0
Albany,56001,CARBON TETRACHLORIDE,0.0
Albany,56001,CHLOROPRENE,0.0
Albany,56001,CHROMIUM VI (HEXAVALENT),0.0
Albany,56001,EPICHLOROHYDRIN,0.0
Albany,56001,ETHYLBENZENE,9.800313292299999e-05
Albany,56001,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Albany,56001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.001144305317206
Albany,56001,ETHYLENE OXIDE,0.0
Albany,56001,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Albany,56001,FORMALDEHYDE,0.005494963851892999
Albany,56001,HEXACHLOROBENZENE,0.0
Albany,56001,HEXACHLOROBUTADIENE,0.0
Albany,56001,METHYL TERT-BUTYL ETHER,0.0
Albany,56001,METHYLENE CHLORIDE,0.0
Albany,56001,NAPHTHALENE,0.001065778595094
Albany,56001,NICKEL COMPOUNDS,0.0
Albany,56001,NITROBENZENE,0.0
Albany,56001,O-TOLUIDINE,0.0
Albany,56001,PAHPOM,0.00018576187511400004
Albany,56001,PROPYLENE OXIDE,0.0
Albany,56001,TETRACHLOROETHYLENE,0.0
Albany,56001,TRICHLOROETHYLENE,0.0
Albany,56001,VINYL CHLORIDE,0.0
Big Horn,56003,"1,1,2-TRICHLOROETHANE",0.0
Big Horn,56003,"1,3-BUTADIENE",0.0
Big Horn,56003,"1,3-DICHLOROPROPENE",0.0
Big Horn,56003,"1,4-DICHLOROBENZENE",0.0
Big Horn,56003,"1,4-DIOXANE",0.0
Big Horn,56003,"2,4,6-TRICHLOROPHENOL",0.0
Big Horn,56003,"2,4-DINITROTOLUENE",0.0
Big Horn,56003,"2,4-TOLUENE DIISOCYANATE",0.0
